Elapsed Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.168138191103935,1.59627485275269,-0.7514324188232421,0,
00:00:00.004,-0.15377376973629,-1.5210987329483,0.7150667309761051,0,
00:00:00.008,-0.13477988541126298,-1.26075565814972,0.590268015861511,0,
00:00:00.012,-0.0294442288577557,-0.128273189067841,0.0742659047245979,0,
00:00:00.016,0.0662207454442978,0.6381627917289731,-0.309787750244141,0,
00:00:00.02,0.102592296898365,0.788431525230408,-0.37459987401962297,0,
00:00:00.024,0.062136884778738,0.492856591939926,-0.22261145710945104,0,
00:00:00.028,-0.0267389360815287,0.0508246682584286,-0.0452183969318867,0,
00:00:00.032,-0.0270858891308308,-0.231320738792419,0.112811543047428,0,
00:00:00.036,-0.00433872640132904,-0.302241116762161,0.181209549307823,0,
00:00:00.04,0.0035920143127441398,-0.22650158405304,0.0743158012628555,0,
00:00:00.044,-0.0500661544501781,-0.0866854265332222,0.0517788752913475,0,
00:00:00.048,-0.0321952328085899,0.0190458316355944,-0.0284264869987965,0,
00:00:00.052,0.0275686625391245,0.0923814922571182,-0.0404287725687027,0,
00:00:00.056,0.0636667907238007,0.089170053601265,-0.0246400497853756,0,
00:00:00.06,-0.00745966751128435,0.0429771579802036,-0.0196021813899279,0,
00:00:00.064,-0.025775196030736,0.0018801954574883,-0.0122822904959321,0,
00:00:00.068,-0.0157070681452751,-0.0197737514972687,0.0135946031659842,0,
00:00:00.072,0.0239112563431263,-0.0200065188109875,-0.00521582690998912,0,
00:00:00.076,-0.0118530159816146,-0.0357355028390884,0.036128293722868,0,
00:00:00.08,-0.0107898563146591,-0.0043291295878589205,0.00868299603462219,0,
00:00:00.084,-0.0106304297223687,0.0189899355173111,-0.0131099885329604,0,
00:00:00.088,0.0188868399709463,0.0111669022589922,-0.0118158282712102,0,
00:00:00.092,0.02024838142097,-0.0107827736064792,-0.00424850778654218,0,
00:00:00.096,-0.00435724668204784,0.0039108265191316605,-0.0045689023099839705,0,
00:00:00.1,-0.007207321003079409,0.00712216179817915,-0.0132044814527035,0,
00:00:00.104,-0.0099884532392025,-0.00667280424386263,0.0231900401413441,0,
00:00:00.108,-0.000806882919277996,0.0129820955917239,0.0210638046264648,0,
00:00:00.112,0.00129934470169246,-0.0100302593782544,-0.013445733115077,0,
00:00:00.116,0.0138876168057323,0.00335518666543067,-0.0194684565067291,0,
00:00:00.12,0.0163592603057623,-0.0092844320461154,0.0377523750066757,0,
00:00:00.124,-0.0117026772350073,-0.0160732697695494,-0.0267282538115978,0,
00:00:00.128,-0.0953013300895691,0.000576234073378146,-0.033955167979002006,0,
00:00:00.132,0.0739493742585182,0.0189259890466928,0.0532923117280006,0,
00:00:00.136,0.0333852544426918,0.0180496945977211,-0.014017722569406,0,
00:00:00.14,-0.0100651420652866,-0.0036204247735440705,-0.025368345901369996,0,
00:00:00.144,0.025668466463685004,0.0010579829104244698,0.0200225301086903,0,
00:00:00.148,-0.028742428869009,-0.0127466497942805,0.0137054529041052,0,
00:00:00.152,-0.0250131320208311,-0.00628317520022392,-0.0143516957759857,0,
00:00:00.156,-0.0142539981752634,-0.00677129812538624,0.00588210020214319,0,
00:00:00.16,-0.000695138704031706,0.0021196231245994603,-0.0136288907378912,0,
00:00:00.164,0.021497119218111,-0.0009550738031975929,0.00218527251854539,0,
00:00:00.168,0.0083948178216815,0.00627521798014641,0.00285755144432187,0,
00:00:00.172,0.0100725879892707,0.00678439438343048,0.0152996014803648,0,
00:00:00.176,-0.00282643386162817,0.0179193522781134,0.0316569171845913,0,
00:00:00.18,0.008457404561340809,-0.0164209026843309,-0.0485673695802689,0,
00:00:00.184,-0.0267405081540346,-0.0185666680335999,-0.0154215469956398,0,
00:00:00.188,-0.0157678946852684,0.005339360795915129,0.0058881705626845394,0,
00:00:00.192,0.0239410102367401,0.00293979863636196,0.00037060250178910803,0,
00:00:00.196,0.00415071006864309,0.0149596221745014,0.0050011416897177705,0,
00:00:00.2,0.0137136979028583,0.0110935401171446,0.0161996055394411,0,
00:00:00.204,-0.0230940952897072,-0.0177618023008108,0.0276383366435766,0,
00:00:00.208,-0.0101950112730265,-0.0164363011717796,-0.015024839900433998,0,
00:00:00.212,0.0712743625044823,0.00575553579255939,-0.0260726548731327,0,
00:00:00.216,-0.008708209730684759,0.00802138447761536,-0.0103939566761255,0,
00:00:00.22,-0.131212323904037,-0.00676681380718946,0.00303072296082973,0,
00:00:00.224,-0.00880542583763599,0.00501806661486626,0.0152328722178936,0,
00:00:00.228,0.10779146105050999,0.00957834348082542,-0.0226697660982609,0,
00:00:00.232,0.0483153723180294,-0.00635175919160247,0.01850625872612,0,
00:00:00.236,-0.0185948833823204,-0.0030011949129402603,0.0351346470415592,0,
00:00:00.24,-0.0457279272377491,0.0020057447254657698,-0.00261633866466582,0,
00:00:00.244,-0.0192050021141768,-0.000746598409023136,-0.011088976636528998,0,
00:00:00.248,0.0198184698820114,-0.00465955166146159,-0.0426607541739941,0,
00:00:00.252,0.00527274096384645,0.0124770663678646,-0.011362842284142999,0,
00:00:00.256,-0.00772085739299655,-0.0019966890104115,0.0199793018400669,0,
00:00:00.26,-0.0220213923603296,0.00467066140845418,0.0527677275240421,0,
00:00:00.264,0.00591580709442496,-0.0158188585191965,-0.0253916867077351,0,
00:00:00.268,0.0231075920164585,-0.015149986371398,-0.0407358631491661,0,
00:00:00.272,0.024375656619667996,0.0144739076495171,0.0372678637504578,0,
00:00:00.276,-0.0141606219112873,0.013422267511487,-0.00414828583598137,0,
00:00:00.28,-0.0213117189705372,-0.00893464963883162,-0.00810486357659101,0,
00:00:00.284,0.0005314584705047309,0.00766133330762386,0.0151833882555366,0,
00:00:00.288,0.009444376453757291,-0.0049218269996345,0.00258749583736062,0,
00:00:00.292,0.007708080112934109,0.000261817913269624,-0.013929195702076,0,
00:00:00.296,-0.0212167296558619,0.00016607243742328102,-0.028653884306549998,0,
00:00:00.3,0.00155729916878045,-0.000850354961585253,0.0126524809747934,0,
00:00:00.304,0.0221447441726923,0.000881013693287969,0.0114060519263148,0,
00:00:00.308,0.00204356899484992,-0.00898837950080633,0.0375970415771008,0,
00:00:00.312,-0.0491937547922134,3.6189732782077004e-05,-0.000897457648534328,0,
00:00:00.316,0.0122272521257401,0.0174301154911518,-0.0534466840326786,0,
