Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event
00:00:00,0.236638933,-0.948631525,5.961640358,0
00:00.0,-0.239717215,0.89026767,-5.675201893,0
00:00.0,-0.181668758,0.762265563,-4.724350929,0
00:00.0,0.003364767,0.099061951,-0.501087308,0
00:00.0,0.106155939,-0.385741651,2.449279308,0
00:00.0,0.100673333,-0.493406177,2.94303751,0
00:00.0,0.05386351,-0.300269306,1.786930561,0
00:00.0,0.009608396,-0.025337571,0.218141437,0
00:00.0,-0.027185773,0.149258137,-0.857848465,0
00:00.0,-0.042419802,0.190738484,-1.156660676,0
00:00.0,-0.040548492,0.129293442,-0.849795163,0
00:00.0,-0.010861385,0.052348677,-0.33939594,0
00:00.0,0.010367439,-0.024146622,0.117307916,0
00:00.1,0.021327401,-0.055298619,0.348632127,0
00:00.1,-0.00970329,-0.038638923,0.321591347,0
00:00.1,0.002279962,-0.032147087,0.198785931,0
00:00.1,0.019181846,-0.014015729,-0.012880683,0
00:00.1,-0.014747675,0.01792632,-0.122438818,0
00:00.1,0.014327616,0.023786968,-0.109737352,0
00:00.1,0.013097254,0.01727847,-0.056291815,0
00:00.1,-0.00532198,-0.000848615,-0.005224303,0
00:00.1,-0.036401831,-0.013158652,0.027387517,0
00:00.1,-0.002431956,0.032738872,0.027824704,0
00:00.1,0.01673416,-0.044491589,0.02233357,0
00:00.1,0.002672745,-0.012162294,0.008314741,0
00:00.1,0.006605579,0.005500101,0.002366099,0
00:00.1,-0.00288743,0.01322566,-0.027793264,0
00:00.1,-0.009889842,0.019531127,0.002473075,0
00:00.1,0.000255145,0.000795871,0.015495912,0
00:00.1,0.01560854,-0.001884285,-0.017704839,0
00:00.1,0.011689864,-0.012543011,-0.009393063,0
00:00.1,-0.03028533,-0.024171747,-0.00181836,0
00:00.1,-0.007038218,0.009373154,0.016363824,0
00:00.1,0.013165055,0.01886481,0.017320024,0
00:00.1,0.029224798,0.014496873,-0.013528301,0
00:00.1,-0.017796768,-0.023593653,-0.007128104,0
00:00.1,-0.03961315,-0.003381097,-0.003197219,0
00:00.1,0.014283128,0.005947615,0.006168154,0
00:00.2,0.026321335,0.000116524,0.018879073,0
00:00.2,-0.001041392,0.008427797,-0.009539879,0
00:00.2,0.007296137,-0.004837417,-0.017928725,0
00:00.2,-0.003862374,-0.01574425,-0.019725645,0
00:00.2,-0.009024188,0.010223082,0.022104386,0
00:00.2,-0.011752856,0.005603862,0.016942494,0
00:00.2,0.007245312,0.012104956,-0.000397873,0
00:00.2,-0.007428821,-0.002438355,-0.01005082,0
00:00.2,-0.007508148,-0.024250951,0.005020972,0
00:00.2,0.020049751,-0.001162855,-0.01318574,0
00:00.2,0.010767497,-0.000658609,-0.000477553,0
00:00.2,0.003065878,0.01950285,0.018180301,0
00:00.2,-0.021784248,0.008157815,0.002232414,0
